StationCode,AnalyteName,UnitName,Result,SampleDate
902ADB848,Chromium,ug/L,1,01/09/2018
ME-SCR,Acenaphthene,ug/L,0.1,01/09/2018
ME-SCR,Chromium,ug/L,0.22,01/09/2018
802NVO325,Acenaphthene,ug/L,0.311,01/09/2018
ME-VR2,Chromium,ug/L,0.16,01/09/2018
ME-SCR,Aluminum,ug/L,191,01/09/2018
541MER531,Aldrin,ug/L,0.149,01/09/2018
ME-VR2,Acenaphthene,ug/L,3.8,01/09/2018
ME-VR2,Chromium,ug/L,120,01/09/2018
902LTC777,Chromium,ug/L,0.4,01/09/2018
ME-VR2,Captan,ug/L,8.6,01/09/2018
ME-SCR,Chromium,ug/L,48.9,01/09/2018
ME-SCR,Acenaphthene,ug/L,0.38,01/09/2018
802NVO325,Chromium,ug/L,9.1,01/09/2018
ME-VR2,Aluminum,ug/L,31,01/09/2018
7-407,Chromium,ug/L,0.292,01/09/2018
ME-SCR,Alachlor,ug/L,0.022,01/09/2018
902LMC778,Chromium,ug/L,0.4,01/09/2018
541MER531,Aldrin,ug/L,0.151,01/09/2018
Outfall 85,Acenaphthene,ug/L,0.0208,01/09/2018
ME-SCR,Chromium,ug/L,49,01/09/2018
ME-VR2,Acenaphthene,ug/L,0.1,01/09/2018
ME-SCR,Aluminum,ug/L,193,01/09/2018
Pre_North,Aluminum,ug/L,35,01/09/2018
Pre_North,Chromium,ug/L,1.2,01/09/2018
Pre_North,Chromium,ug/L,0.21,01/09/2018
Pre_Victory,Aluminum,ug/L,21,01/09/2018
Pre_Victory,Chromium,ug/L,9.6,01/09/2018
521BUT205,Aluminum,ug/L,498,01/09/2019
309TEH,Bifenthrin,ug/L,0.0331,01/09/2019
521BUT209,Chromium,ug/L,1.06,01/09/2019
520BUT208,Chromium,ug/L,6.58,01/09/2019
521BUT204,Chromium,ug/L,13.4,01/09/2019
309NAD,Bifenthrin,ug/L,0.0147,01/09/2019
521BUT204,Chromium,ug/L,13.4,01/09/2019
521BUT209,Chromium,ug/L,6.02,01/09/2019
521BUT204,Aluminum,ug/L,500,01/09/2019
520BUT207,Chromium,ug/L,1.69,01/09/2019
521BUT206,Aluminum,ug/L,109,01/09/2019
521BUT205,Aluminum,ug/L,359,01/09/2019
309MER,Bifenthrin,ug/L,1.19,01/09/2019
521BUT206,Chromium,ug/L,4.55,01/09/2019
309MER,Bifenthrin,ug/L,0.0507,01/09/2019
